Наимнование;Цена;Метро;Ссылка
iPhone 6/iPhone 6s/ iPhone 7 / Все объемы и цвета;11 990 руб.;м. Волгоградский проспект;https://www.avito.ru/moskva/telefony/iphone_6iphone_6s_iphone_7_vse_obemy_i_tsveta_805587569
Аксессуары оптом для телефонов и планшетов;99 руб.;;https://www.avito.ru/moskva/telefony/aksessuary_optom_dlya_telefonov_i_planshetov_748093064
Защитное стекло - Все модели;249 руб.;;https://www.avito.ru/moskva/telefony/zaschitnoe_steklo_-_vse_modeli_740100023
iPhone 5s Все объемы и цвета;8 490 руб.;м. Волгоградский проспект;https://www.avito.ru/moskva/telefony/iphone_5s_vse_obemy_i_tsveta_805101015
Htc one m8 16Gb (рст) как новенький,все работает;8 500 руб.;;https://www.avito.ru/moskva/telefony/htc_one_m8_16gb_rst_kak_novenkiyvse_rabotaet_1075355749
HTC One (M7) 32GB;3 800 руб.;м. Фили;https://www.avito.ru/moskva/telefony/htc_one_m7_32gb_1185317042
HTC EVO 3D;3 600 руб.;м. Новогиреево;https://www.avito.ru/moskva/telefony/htc_evo_3d_935011694
HTC Wildfire;2 000 руб.;м. Бабушкинская;https://www.avito.ru/moskva/telefony/htc_wildfire_1050200190
Htc one m7 32gb;5 000 руб.;м. Бабушкинская;https://www.avito.ru/moskva/telefony/htc_one_m7_32gb_1037671634
HTC T8585 HD2 рабочий прошит на андройд 4.4;1 000 руб.;м. Авиамоторная;https://www.avito.ru/moskva/telefony/htc_t8585_hd2_rabochiy_proshit_na_androyd_4.4_1208998209
HTC One M7 Dual Sim;6 000 руб.;м. Октябрьское поле;https://www.avito.ru/moskva/telefony/htc_one_m7_dual_sim_1107607057
HTC Wildfire S Black;1 999 руб.;м. Речной вокзал;https://www.avito.ru/moskva/telefony/htc_wildfire_s_black_812429267
HTC One Dual;3 000 руб.;м. Щелковская;https://www.avito.ru/moskva/telefony/htc_one_dual_1217699485
HTC one S, 16 gb, в хорошем состоянии;3 000 руб.;м. Баррикадная;https://www.avito.ru/moskva/telefony/htc_one_s_16_gb_v_horoshem_sostoyanii_1035725275
HTC Desire 628 dual sim (32 гб) Cobalt;6 500 руб.;;https://www.avito.ru/moskva/telefony/htc_desire_628_dual_sim_32_gb_cobalt_1162341132
HTC one mini 2 M8;8 000 руб.;м. Пражская;https://www.avito.ru/moskva/telefony/htc_one_mini_2_m8_1128239855
Htc m8;8 500 руб.;м. Нагатинская;https://www.avito.ru/moskva/telefony/htc_m8_1039174562
HTC ONE M8 (потек дисплей) + 8 чехлов;3 990 руб.;м. Жулебино;https://www.avito.ru/moskva/telefony/htc_one_m8_potek_displey_8_chehlov_1036649179
HTC;2 900 руб.;м. Коньково;https://www.avito.ru/moskva/telefony/htc_960040092
HTC One m9;8 900 руб.;м. Текстильщики;https://www.avito.ru/moskva/telefony/htc_one_m9_1183046824
HTC ONE M8 dual sim;13 000 руб.;м. Братиславская;https://www.avito.ru/moskva/telefony/htc_one_m8_dual_sim_950340436
HTC one X;1 500 руб.;м. Коломенская;https://www.avito.ru/moskva/telefony/htc_one_x_1094707659
