Интернет магазин;Интернет-магазины•3 часа назад;;9 заявок
Заказ №860398;Веб-программирование•18 часов назад;$400;7 заявок
Заказ №859395;Веб-программирование•6 дней назад;;8 заявок
Заказ №857975;Системное администрирование•13 дней назад;;4 заявки
Плагин для вордпресс;Веб-программирование•14 дней назад;$50;12 заявок
Копирайтер по банковской теме – кредиты, ипотека, вклады;Копирайтинг•18 дней назад;;32 заявки
Рерайт футбольной тематики;Рерайтинг•24 дня назад;;72 заявки
Поработать на маркетингом (упаковка, дизайн, тексты) трех лендингов;Копирайтинг•3 минуты назад;;нет заявок
Текст для лендинга.;Копирайтинг•10 минут назад;$10;нет заявок
Статья-исследование.;Рефераты, Курсовые и Дипломы•10 минут назад;;нет заявок
Доработки по сайту Wordpress;Веб-программирование•10 минут назад;;нет заявок
Прогон статьи по базе больших московских организаций;Служба поддержки•10 минут назад;;1 заявка
Составление и размещение комментариев;Копирайтинг•11 минут назад;$85;нет заявок
Скопировать меню с сайта;Веб-программирование•11 минут назад;;3 заявки
Создать дизайн интернет магазина одежды;Дизайн сайтов•11 минут назад;;3 заявки
Заказ №860572;Веб-программирование•13 минут назад;;нет заявок
Обновить фреймворк CodeIgniter на сайте;Веб-программирование•26 минут назад;$10;нет заявок
Серия скриптов для работы с текстом + последующая интеграция в WP;Веб-программирование•1 час назад;;нет заявок
Корректировка макета в PSD;Дизайн сайтов•1 час назад;$10;10 заявок
ЯндексМаркет;Веб-программирование•1 час назад;;3 заявки
Программирование на Yii2;Веб-программирование•1 час назад;;3 заявки
Написать скрипт на google apps как веб приложение;Веб-программирование•1 час назад;;нет заявок
SEO продвижение - аудит редизайна и развитие;Поисковые системы (SEO)•1 час назад;;2 заявки
Анализ и доработка кода (Сайт Angular Node Postgres +соцAPI);Веб-программирование•1 час назад;;нет заявок
Нужно опубликовать 20 статей на сайт с картинками;Наполнение сайтов•1 час назад;;7 заявок
Корректировки сайта wordpress;Веб-программирование•1 час назад;;1 заявка
Текст для сайта индивидуального массажиста в Риге;Продающие тексты, Копирайтинг•1 час назад;;4 заявки
Адаптивная верстка интернет-магазина;HTML-верстка•1 час назад;;5 заявок
Помощь с Google DFP и AMP страницами;Прикладное ПО•1 час назад;$25;нет заявок
Сделать PDF-анкету с заполняемыми полями;HTML-верстка•1 час назад (2-й раз);;6 заявок
Адаптивная верстка сайта;HTML-верстка•1 час назад;$70;9 заявок
Требуется верстка + натяжка интернет-магазина на Opencart;HTML-верстка, Системы управления (CMS)•1 час назад (2-й раз);$300;11 заявок
Сверстать главную под адаптив;HTML-верстка•1 час назад;$60;15 заявок
Верстка лендинг-пейд с адаптивом;HTML-верстка•1 час назад;$150;11 заявок
Производство видео-ролика;Видеомонтаж•1 час назад;;нет заявок
Настроить Яндекс Директ для интернет-магазина;Контекстная реклама•1 час назад;;5 заявок
Скрипт;Веб-программирование•2 часа назад;;нет заявок
Дизайн главной страницы сайта;Дизайн сайтов•2 часа назад;;5 заявок
